After iteration 0:
Gaussian 8: mean = 5179.2696, variance = 8119085.5996, prior = 0.1103
Gaussian 9: mean = 5044.6370, variance = 8132289.8740, prior = 0.1111

After iteration 34:
Gaussian 1: mean = 4914.4217, variance = 8110412.5954, prior = 0.1120
Gaussian 2: mean = 4257.7094, variance = 7501902.3674, prior = 0.1115
Gaussian 3: mean = 5385.2111, variance = 8029123.4160, prior = 0.1111
Gaussian 4: mean = 4607.2893, variance = 7926751.0108, prior = 0.1109
Gaussian 5: mean = 5304.7585, variance = 8074130.3471, prior = 0.1113
Gaussian 6: mean = 4867.3310, variance = 8094252.0683, prior = 0.1108
Gaussian 7: mean = 4979.3487, variance = 8125460.5041, prior = 0.1110
Gaussian 8: mean = 5182.1394, variance = 8118233.6436, prior = 0.1103
Gaussian 9: mean = 5047.4387, variance = 8132200.7730, prior = 0.1111

After iteration 35:
Gaussian 1: mean = 4917.2398, variance = 8111021.8477, prior = 0.1120
Gaussian 2: mean = 4236.8966, variance = 7469565.2645, prior = 0.1116
Gaussian 3: mean = 5389.7327, variance = 8026025.5932, prior = 0.1111
Gaussian 4: mean = 4605.7508, variance = 7925142.0151, prior = 0.1109
Gaussian 5: mean = 5308.3840, variance = 8072176.9594, prior = 0.1113
Gaussian 6: mean = 4869.9435, variance = 8095043.2389, prior = 0.1108
Gaussian 7: mean = 4982.2993, variance = 8125729.9059, prior = 0.1109
Gaussian 8: mean = 5185.1911, variance = 8117294.1788, prior = 0.1103
Gaussian 9: mean = 5050.4178, variance = 8132073.0409, prior = 0.1111

After iteration 36:
Gaussian 1: mean = 4920.2660, variance = 8111640.7329, prior = 0.1119
Gaussian 2: mean = 4214.4646, variance = 7433877.2905, prior = 0.1116
Gaussian 3: mean = 5394.5151, variance = 8022685.5938, prior = 0.1111
Gaussian 4: mean = 4604.3623, variance = 7923628.2655, prior = 0.1109
Gaussian 5: mean = 5312.2358, variance = 8070053.8369, prior = 0.1113
Gaussian 6: mean = 4872.7693, variance = 8095867.6504, prior = 0.1108
Gaussian 7: mean = 4985.4522, variance = 8125979.7550, prior = 0.1109
Gaussian 8: mean = 5188.4469, variance = 8116252.5923, prior = 0.1103
Gaussian 9: mean = 5053.5960, variance = 8131898.1582, prior = 0.1111

After iteration 37:
Gaussian 1: mean = 4923.5267, variance = 8112265.3921, prior = 0.1119
Gaussian 2: mean = 4190.2044, variance = 7394312.9236, prior = 0.1116
Gaussian 3: mean = 5399.5894, variance = 8019068.5154, prior = 0.1111
Gaussian 4: mean = 4603.1536, variance = 7922230.1709, prior = 0.1109
Gaussian 5: mean = 5316.3422, variance = 8067734.4763, prior = 0.1113
Gaussian 6: mean = 4875.8352, variance = 8096724.2527, prior = 0.1108
Gaussian 7: mean = 4988.8333, variance = 8126202.6992, prior = 0.1109
Gaussian 8: mean = 5191.9336, variance = 8115090.8588, prior = 0.1103
Gaussian 9: mean = 5056.9995, variance = 8131665.3017, prior = 0.1111

After iteration 38:
Gaussian 1: mean = 4927.0532, variance = 8112890.2054, prior = 0.1119
Gaussian 2: mean = 4163.8686, variance = 7350235.3350, prior = 0.1117
Gaussian 3: mean = 5404.9918, variance = 8015131.9600, prior = 0.1112
Gaussian 4: mean = 4602.1604, variance = 7920971.4257, prior = 0.1108
Gaussian 5: mean = 5320.7366, variance = 8065186.3575, prior = 0.1113
Gaussian 6: mean = 4879.1731, variance = 8097610.7368, prior = 0.1108
